geneID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
ENSG00000168374	ARF4	4340.007	0.0840140822772483	0.440569740947738	0.770720204952685	412.398	378.341	ASO_G0272888_AD_07	AC013394.2	0.592
ENSG00000170540	ARL6IP1	3429.275	0.112685671555741	0.440968442197747	0.770720204952685	331.448	297.84	ASO_G0272888_AD_07	AC013394.2	0.496
ENSG00000239732	TLR9	816.927	0.116592727069734	0.440878705728636	0.770720204952685	79.158	70.965	ASO_G0272888_AD_07	AC013394.2	0.26
ENSG00000248275	TRIM52-AS1	152.579	-0.119585340671602	0.440791128348395	0.770720204952685	12.617	13.54	ASO_G0272888_AD_07	AC013394.2	-0.115
ENSG00000273026	RP11-422P24.10	21.451	-0.238730436001853	0.440864738829587	0.770720204952685	1.669	1.915	ASO_G0272888_AD_07	AC013394.2	-0.745
ENSG00000197694	SPTAN1	2060.366	-0.0934900144762953	0.44105778029539	0.770739223094622	175.498	181.828	ASO_G0272888_AD_07	AC013394.2	-0.33
ENSG00000205707	LYRM5	210.623	-0.12561412742312	0.441091641112053	0.770739223094622	17.621	18.61	ASO_G0272888_AD_07	AC013394.2	-0.394
ENSG00000179094	PER1	79.143	-0.172452950256766	0.441166206800725	0.770783345885908	6.472	7.022	ASO_G0272888_AD_07	AC013394.2	-0.598
ENSG00000255152	MSH5-SAPCD1	209.766	-0.130241939572049	0.441225978830864	0.770801614968862	17.528	18.6	ASO_G0272888_AD_07	AC013394.2	0.123
CATG00000100510	CATG00000100510.1	28.826	0.180129381608134	0.441364542886426	0.770957510652083	2.888	2.494	ASO_G0272888_AD_07	AC013394.2	0.591
ENSG00000116191	RALGPS2	370.115	-0.09973100123512	0.441427019607296	0.770980480105267	31.387	32.698	ASO_G0272888_AD_07	AC013394.2	-0.128
ENSG00000155876	RRAGA	1617.737	-0.103028255107003	0.441532574101286	0.771078674100905	136.713	143.109	ASO_G0272888_AD_07	AC013394.2	-0.884
ENSG00000053501	USE1	239.527	0.122325882365447	0.441595784134547	0.771102905376267	23.42	20.771	ASO_G0272888_AD_07	AC013394.2	0.539
ENSG00000172053	QARS	1615.79	0.141820508855876	0.441716009264622	0.771140536669948	158.925	139.82	ASO_G0272888_AD_07	AC013394.2	0.72
ENSG00000196943	NOP9	173.5	-0.237361657695815	0.441686177753911	0.771140536669948	13.476	15.52	ASO_G0272888_AD_07	AC013394.2	-1.332
ENSG00000068697	LAPTM4A	3392.805	0.129133573111639	0.442052941260513	0.771188545804151	331.189	294.825	ASO_G0272888_AD_07	AC013394.2	0.942
ENSG00000076201	PTPN23	824.801	-0.105359854676296	0.441887082032418	0.771188545804151	69.732	72.96	ASO_G0272888_AD_07	AC013394.2	-0.463
ENSG00000129472	RAB2B	209.859	-0.111317283733397	0.442138231538772	0.771188545804151	17.652	18.584	ASO_G0272888_AD_07	AC013394.2	-0.783
ENSG00000137166	FOXP4	93.992	-0.310860886869143	0.441995894945865	0.771188545804151	6.915	8.415	ASO_G0272888_AD_07	AC013394.2	-1.301
ENSG00000143344	RGL1	292.341	-0.127721901577924	0.442009546969757	0.771188545804151	24.251	25.939	ASO_G0272888_AD_07	AC013394.2	-0.734
ENSG00000144021	CIAO1	562.964	-0.0902742903403412	0.441980595129765	0.771188545804151	47.967	49.691	ASO_G0272888_AD_07	AC013394.2	-0.572
ENSG00000175106	TVP23C	333.031	0.0910557170600324	0.442102971338584	0.771188545804151	31.958	29.037	ASO_G0272888_AD_07	AC013394.2	0.767
ENSG00000176871	WSB2	870.09	-0.27054690694447	0.442079834362161	0.771188545804151	66.028	77.65	ASO_G0272888_AD_07	AC013394.2	-1.674
CATG00000005844	CATG00000005844.1	4385.319	0.486064319541232	0.442356502552489	0.771288958751283	531.251	371.263	ASO_G0272888_AD_07	AC013394.2	0.745
ENSG00000151164	RAD9B	10.216	0.289166941467709	0.44241890212676	0.771288958751283	1.117	0.877	ASO_G0272888_AD_07	AC013394.2	-0.43
ENSG00000170522	ELOVL6	592.691	0.092326061607774	0.442442533855662	0.771288958751283	56.553	51.602	ASO_G0272888_AD_07	AC013394.2	0.621
ENSG00000225062	AC021016.6	15.441	-0.263972404251561	0.442259532520675	0.771288958751283	1.191	1.384	ASO_G0272888_AD_07	AC013394.2	-0.755
ENSG00000237741	AC002368.4	47.845	-0.452072700541322	0.442411455075066	0.771288958751283	3.198	4.321	ASO_G0272888_AD_07	AC013394.2	-1.036
CATG00000066816	CATG00000066816.1	12.952	-0.338073126518969	0.44260188061032	0.771320331573139	0.969	1.161	ASO_G0272888_AD_07	AC013394.2	-1.246
CATG00000072866	CATG00000072866.1	109.689	-0.141475741555546	0.442794714422693	0.771320331573139	9.057	9.751	ASO_G0272888_AD_07	AC013394.2	-0.416
ENSG00000130475	FCHO1	25.432	0.19358422442734	0.44284769957375	0.771320331573139	2.591	2.195	ASO_G0272888_AD_07	AC013394.2	0.034
ENSG00000145979	TBC1D7	183.955	-0.0932192219488048	0.442773024593625	0.771320331573139	15.612	16.267	ASO_G0272888_AD_07	AC013394.2	-0.45
ENSG00000158710	TAGLN2	6099.929	-0.082142267837503	0.442650408631696	0.771320331573139	522.884	538.193	ASO_G0272888_AD_07	AC013394.2	-0.783
ENSG00000204116	CHIC1	94.876	0.130435623695687	0.442853020176414	0.771320331573139	9.234	8.226	ASO_G0272888_AD_07	AC013394.2	0.745
ENSG00000227619	RP11-492E3.2	11.227	-0.375586861138252	0.442714954486916	0.771320331573139	0.821	1.011	ASO_G0272888_AD_07	AC013394.2	-0.759
ENSG00000248124	RRN3P1	36.005	-0.203777160145174	0.44285532025191	0.771320331573139	2.865	3.209	ASO_G0272888_AD_07	AC013394.2	-0.492
